time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1822	1.33793	5.19993	0.222787	0.19922	radar	4.67758	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4089	1.42207	5.17854	0.24696	0.218449	lidar	1.42206	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6475	1.5132	5.14943	0.275189	0.246124	radar	4.50848	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8772	1.54632	5.12743	0.27028	0.224505	lidar	1.60685	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1392	1.59802	5.14081	0.27079	0.209408	radar	1.59767	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4146	1.64276	5.16155	0.266171	0.188845	lidar	1.60559	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6499	1.70483	5.13943	0.275067	0.190705	radar	1.20696	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8821	1.77061	5.12541	0.283706	0.190079	lidar	0.572963	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1326	1.85976	5.14196	0.299095	0.195373	radar	1.12788	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.377	1.88768	5.12913	0.285331	0.165318	lidar	0.841105	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6292	1.94602	5.14038	0.283955	0.150291	radar	0.924766	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8302	2.08512	5.11853	0.328836	0.199239	lidar	3.61395	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.088	2.18649	5.15299	0.341405	0.196663	radar	3.58704	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2905	2.33135	5.1355	0.383877	0.239212	lidar	2.63609	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.478	2.48986	5.09469	0.437477	0.301495	radar	10.8965	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7235	2.60051	5.10902	0.450593	0.298315	lidar	0.669821	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9437	2.71961	5.1005	0.471371	0.308153	radar	0.254527	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1688	2.8689	5.11182	0.501457	0.326128	lidar	0.417695	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4141	2.97084	5.13363	0.497147	0.290831	radar	1.6497	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6256	3.04621	5.10274	0.492667	0.268746	lidar	2.4445	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8517	3.19249	5.12484	0.511823	0.268937	radar	3.92289	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0538	3.38228	5.13662	0.55684	0.30795	lidar	1.09506	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.264	3.54879	5.14041	0.589114	0.332728	radar	2.36913	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4731	3.73205	5.15695	0.622848	0.35308	lidar	0.695543	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6864	3.86544	5.15272	0.630746	0.340216	radar	0.969199	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9071	4.00694	5.15753	0.639416	0.329507	lidar	0.269431	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1036	4.17612	5.14911	0.670489	0.357421	radar	1.66731	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2993	4.36716	5.16256	0.70102	0.372175	lidar	0.410591	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5092	4.52735	5.17064	0.710936	0.358358	radar	0.719663	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6891	4.69879	5.16118	0.733103	0.364288	lidar	0.403205	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8418	4.90914	5.1401	0.79104	0.43678	radar	4.6736	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0062	5.12825	5.1525	0.829303	0.456013	lidar	0.443452	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1754	5.30964	5.14083	0.853361	0.464261	radar	1.86127	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3387	5.49098	5.12925	0.872813	0.46068	lidar	0.286774	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.493	5.6771	5.1113	0.900606	0.476662	radar	3.56266	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6939	5.80333	5.08489	0.886491	0.433203	lidar	2.57128	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8314	6.0175	5.07639	0.929795	0.474409	radar	1.3935	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0109	6.19757	5.07555	0.93616	0.453562	lidar	0.812335	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1556	6.41257	5.07986	0.963887	0.461128	radar	0.538242	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2798	6.63844	5.08222	0.997438	0.473522	lidar	0.268607	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
